tile position x,tile position y,tile center x,tile center y,price text center x,price text center y
3,3,51,51,0,0
104,3,146,45,146,96
192,3,234,45,0,0
280,3,322,45,322,96
368,3,410,45,410,96
456,3,498,45,498,96
544,3,586,45,586,96
632,3,674,45,0,0
720,3,762,45,762,96
808,3,850,45,851,96
896,3,944,51,0,0
909,104,951,146,902,146
909,192,951,234,902,234
909,280,951,322,902,322
909,368,951,410,902,410
909,456,951,498,902,498
909,544,951,586,902,586
909,632,951,674,902,0
909,720,951,762,902,762
909,808,951,850,902,845
896,896,944,944,902,0
808,909,850,951,851,897
720,909,762,951,0,0
632,909,674,951,674,897
544,909,586,951,586,897
456,909,498,951,498,897
368,909,410,951,410,897
280,909,322,951,322,897
192,909,234,951,234,897
104,909,146,951,146,897
3,896,51,944,0,0
3,808,45,850,96,850
3,720,45,762,96,762
3,632,45,674,0,0
3,544,45,586,96,586
3,456,45,498,96,498
3,368,45,410,0,0
3,280,45,322,96,322
3,192,45,234,97,230
3,104,45,146,96,146
