tile position x,tile position y,price text center x,price text center y
2,2,0,0
69,2,96,64
126,2,153,63
183,2,210,64
240,2,267,64
297,2,324,64
354,2,381,64
411,2,0,64
468,2,495,64
525,2,552,64
582,2,0,64
592,69,586,96
592,126,586,153
592,183,586,210
592,240,586,267
592,297,586,324
592,354,586,381
592,411,586,0
592,468,586,495
592,525,586,552
582,582,586,581
525,592,552,581
468,592,0,581
411,592,438,581
354,592,381,581
297,592,324,581
240,592,267,581
183,592,210,581
126,592,153,581
69,592,96,581
2,582,0,0
2,525,64,552
2,468,64,496
2,411,0,0
2,354,64,381
2,297,64,324
2,240,0,0
2,183,64,210
2,126,65,153
2,69,64,96
