position,command,value,description
0,get money,50,get_{value}_penises
1,get money,150,"Сегодня прекрасный день, чтобы получить {value}~"
2,go to start,200,Вам надо пройти к началу и получить {value}~
3,pay,15,Заплатите в банк игры бюджет на следующее обновление в размере {value}~
4,pay to players,50,"Заплатите всем игрокам моральную компенсацию в размере {value}~ за то, что вы показали всем пЭнис"
5,pay for white penises,25,Внезапная проверка пЭнисов! Заплатите за каждый белый пЭнис {value}~
6,go back,3,Впереди страшные вещи. Вернитесь на {value} клетки назад
7,go to,5,Пройдите к полю {tile_name}
8,go to,11,Пройдите к полю {tile_name}
9,go to,24,Пройдите к полю {tile_name}
10,go to,39,Пройдите к полю {tile_name}
11,go to next,train,"Пройдите к следующему фото из канала ""Легенда"""
12,go to next,train,"Пройдите к следующему фото из канала ""Легенда"""
13,go to next,infrastructure,Пройдите к следующей Варе
14,go to prison,0,Вы - злобный нарушитель и вам надо в тюрьму
15,exit prison,0,"Вы сможете выйти из тюрьмы. Эта карточка никому не попадётся, пока вы её не вернёте"
